time,z,y,x
5.46802,0.123933,0.0533079,-0.258989
5.50026,0.155035,0.0869934,-0.148671
5.536,0.0718094,0.0304551,-0.196037
5.6005,0.00888944,0.132556,0.0488538
5.63629,-0.0492869,0.0427131,-0.247065
5.66803,-0.308037,-0.111474,0.0499093
5.70005,-0.158202,-0.195703,-0.0159222
5.73624,0.0269652,-0.127935,0.0191618
5.76782,-0.0230737,-0.315844,0.0488254
5.83602,0.0357519,-0.380448,0.138605
5.86811,0.317283,-0.661285,0.0393682
5.90005,0.0307545,-0.358257,0.215097
5.93607,-0.00225701,-0.287651,0.160357
5.96803,0.121401,-0.237357,-0.142934
6.00075,-0.0660969,-0.17435,-0.362706
6.06804,-0.101162,-0.349642,0.0854025
6.10005,0.148583,0.044892,-0.115699
6.13603,0.1403,0.152289,-0.209858
6.16797,0.295265,0.0438076,-0.336244
6.20011,0.369219,0.284616,-0.336021
6.23606,0.324972,-0.176852,-0.256977
6.30017,0.337775,0.0679445,0.0761044
6.33607,-0.0613888,0.580865,0.215282
6.36843,-0.200246,0.370792,0.253194
6.40011,0.0947279,0.376211,0.0819
6.4361,-0.274619,0.476961,-0.27145
6.468,0.361975,0.243938,0.066042
6.50007,0.226143,0.591654,-0.244045
6.53611,-0.00877613,0.330501,-0.153453
6.5682,-0.0591371,0.335219,-0.126712
6.60019,0.401547,0.264633,-0.032018
6.63594,0.333114,0.0613665,0.0837516
6.66796,0.434838,-0.159102,0.190717
6.70121,0.304787,-0.193246,0.141563
6.73606,0.156144,-0.224898,0.303367
6.76794,-0.093021,-0.37492,0.295406
6.79996,-0.138767,-0.311311,-0.0508542
6.83597,-0.0758896,-0.0706199,0.0572399
6.86797,-0.300718,-0.234852,-0.0256408
6.90011,-0.164347,-0.146198,-0.292863
6.93598,-0.14181,-0.145083,-0.119739
6.96803,-0.0274449,-0.593092,0.151144
7.00016,0.0204877,-0.302587,-0.289517
7.03608,0.330298,-0.139275,-0.524325
7.06799,0.502919,-0.419476,-0.116557
7.1,0.000405071,-0.540659,0.0292625
7.13602,-0.0448431,-0.574309,-0.202253
7.16794,-0.000450715,-0.676473,-0.189204
7.20009,-0.199472,-0.528026,-0.0758009
7.23603,-0.30597,-0.257814,-0.204815
7.268,-0.160547,-0.187245,-0.076667
7.30006,-0.22997,-0.269635,-0.0156128
7.33597,-0.0961897,-0.183281,0.175018
7.36799,0.149042,-0.546867,-0.239622
7.40006,0.0879522,-0.473433,-0.32013
7.43601,0.0860863,-0.127444,0.122345
7.46793,0.285241,-0.0323277,0.690379
7.49996,-0.116562,-0.121036,-1.04218
7.53601,0.00725969,-0.213314,-0.228115
7.56797,0.27264,-0.380402,-0.408663
7.59997,0.136974,-0.28064,-0.264962
7.63607,0.168292,-0.184353,-0.271189
7.66799,0.21563,-0.368825,-0.441309
7.7,-0.234824,-0.739955,0.0897208
7.73596,-0.0750177,-0.274231,-0.254582
7.768,0.153515,-0.338844,-0.406296
7.79995,-1.93097,1.04546,0.726258
7.868,-0.129841,-0.28727,-0.243689
7.90002,0.0889085,-0.290484,-0.716834
7.93602,-0.252927,-0.221561,0.12534
